pretrain_model_path,mIoU,T0,T1/T9,T2/T10,T3/T11,T4/T12,T5/T13,T6/T14,T7/T15,T8/T16
exp/12_1e-1/checkpoints/best_miou_epoch_95_valmiou_8980.pth,89.8,95.7,93.98,91.6,88.79,90.46,88.17,90.58,68.19,5.63
exp/12_1e-2/checkpoints/best_miou_epoch_99_valmiou_9047.pth,90.47,95.94,94.56,92.38,89.51,91.03,88.11,90.09,68.09,6.21
exp/12_1e-3/checkpoints/best_miou_epoch_74_valmiou_9080.pth,90.8,95.64,94.15,91.72,89.26,91.98,89.49,91.42,68.45,6
exp/12_1e-4/checkpoints/best_miou_epoch_90_valmiou_8918.pth,89.18,94.87,93.1,90.3,88.02,90.46,88.14,90.84,66.86,4.89
exp/16_1e-1/checkpoints/best_miou_epoch_92_valmiou_9012.pth,90.12,95.73,94.41,91.79,88.94,91.04,88,90.28,68.01,5.46
exp/16_1e-2/checkpoints/best_miou_epoch_86_valmiou_9122.pth,91.22,95.89,94.59,92.22,89.36,91.71,89.4,91.72,68.95,6.33
exp/16_1e-3/checkpoints/best_miou_epoch_91_valmiou_9116.pth,91.16,95.68,94.47,92.01,89.51,92.01,89.05,91.87,68.78,6.14
exp/16_1e-4/checkpoints/best_miou_epoch_78_valmiou_8864.pth,88.64,94.55,92.72,89.48,87.36,90.66,88.01,90.11,65.78,2.56
exp/4_1e-1/checkpoints/best_miou_epoch_97_valmiou_8616.pth,86.17,95.14,91.88,88.65,87.49,90.03,87.03,87.87,63.74,3.47
exp/4_1e-2/checkpoints/best_miou_epoch_97_valmiou_9077.pth,90.77,95.94,94.52,92.28,89.51,91.61,88.55,91.04,68.86,6.15
exp/4_1e-3/checkpoints/best_miou_epoch_87_valmiou_9110.pth,91.1,95.85,94.42,92.03,89.55,91.9,89.31,91.45,68.66,6.09
exp/4_1e-4/checkpoints/best_miou_epoch_88_valmiou_9001.pth,90.01,95.14,93.7,90.97,88.56,91.46,89.29,91.01,66.41,5.55
exp/8_1e-1/checkpoints/best_miou_epoch_86_valmiou_8985.pth,89.85,95.58,93.96,91.44,88.89,90.68,88.24,90.43,67.97,5.79
exp/8_1e-2/checkpoints/best_miou_epoch_100_valmiou_9077.pth,90.77,95.98,94.51,92.29,89.4,91.48,88.33,91.16,69.06,6
exp/8_1e-3/checkpoints/best_miou_epoch_84_valmiou_9081.pth,90.81,95.75,94.41,91.92,89.37,91.49,88.54,91.44,68.28,5.93
exp/8_1e-4/checkpoints/best_miou_epoch_89_valmiou_8972.pth,89.72,95.04,93.45,90.65,88.28,91.01,88.81,90.87,66.68,5.31
exp/19/checkpoints/best_miou_epoch_88_valmiou_9117.pth,91.17,95.82,94.63,92.47,89.74,91.55,89.08,91.46,68.99,6.28
